GEOID10,FID,BDNAME,BDNUM,TEXT_NBR,GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
270531040005029,18,Como,37,37,1000000US270531040005029,"Block 5029, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040005044,18,Como,37,37,1000000US270531040005044,"Block 5044, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",15,13,0,0,2,0,0,0,15,15,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0
270531040005027,18,Como,37,37,1000000US270531040005027,"Block 5027, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",114,92,3,4,8,0,0,7,114,110,89,3,4,8,0,0,6,4,3,0,0,0,0,0,1
270531040002018,18,Como,37,37,1000000US270531040002018,"Block 2018, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040005038,18,Como,37,37,1000000US270531040005038,"Block 5038, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",66,63,0,0,3,0,0,0,66,63,60,0,0,3,0,0,0,3,3,0,0,0,0,0,0
270531040003004,18,Como,37,37,1000000US270531040003004,"Block 3004, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001037,18,Como,37,37,1000000US270531040001037,"Block 1037, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001029,18,Como,37,37,1000000US270531040001029,"Block 1029, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",84,69,8,2,0,0,0,5,84,78,66,8,1,0,0,0,3,6,3,0,1,0,0,0,2
270531040001028,18,Como,37,37,1000000US270531040001028,"Block 1028, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",72,71,0,0,0,0,0,1,72,71,70,0,0,0,0,0,1,1,1,0,0,0,0,0,0
270531040005030,18,Como,37,37,1000000US270531040005030,"Block 5030, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",69,52,1,12,1,0,1,2,69,68,52,1,12,1,0,0,2,1,0,0,0,0,0,1,0
