STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,015602,2012,360850156022012,Block 2012,G5040,,,S,      15665,          0,+40.5345407,-074.1552288,                  -74.1552288000,                   40.5345407000
36,085,017600,3010,360850176003010,Block 3010,G5040,,,S,       9073,          0,+40.5371612,-074.1678290,                  -74.1678290000,                   40.5371612000
36,085,017008,2013,360850170082013,Block 2013,G5040,,,S,      12284,          0,+40.5515684,-074.1791063,                  -74.1791063000,                   40.5515684000
36,085,017012,1006,360850170121006,Block 1006,G5040,,,S,      12459,          0,+40.5557926,-074.1752093,                  -74.1752093000,                   40.5557926000
36,085,017008,3001,360850170083001,Block 3001,G5040,,,S,      33574,          0,+40.5544359,-074.1822679,                  -74.1822679000,                   40.5544359000
36,085,017007,2008,360850170072008,Block 2008,G5040,,,S,      23428,          0,+40.5606906,-074.1855751,                  -74.1855751000,                   40.5606906000
36,085,017012,1011,360850170121011,Block 1011,G5040,,,S,      19071,          0,+40.5595021,-074.1705111,                  -74.1705111000,                   40.5595021000
36,085,017009,1004,360850170091004,Block 1004,G5040,,,S,      18512,          0,+40.5446579,-074.1906752,                  -74.1906752000,                   40.5446579000
36,085,017009,1006,360850170091006,Block 1006,G5040,,,S,      18958,          0,+40.5445988,-074.1936213,                  -74.1936213000,                   40.5445988000
36,085,017009,1009,360850170091009,Block 1009,G5040,,,S,      17977,          0,+40.5432139,-074.1958968,                  -74.1958968000,                   40.5432139000
36,085,020804,2008,360850208042008,Block 2008,G5040,,,S,      16587,          0,+40.5405137,-074.1974051,                  -74.1974051000,                   40.5405137000
36,085,020804,2015,360850208042015,Block 2015,G5040,,,S,      13944,          0,+40.5370982,-074.1957902,                  -74.1957902000,                   40.5370982000
